Name                                              Project       Compat             Latest             Kind         Platform
winapi->winapi-i686-pc-windows-gnu                0.4.0         ---                Removed            Normal       i686-pc-windows-gnu
winapi->winapi-i686-pc-windows-gnu                0.4.0         Removed            Removed            Normal       i686-pc-windows-gnu
winapi->winapi-x86_64-pc-windows-gnu              0.4.0         ---                Removed            Normal       x86_64-pc-windows-gnu
winapi->winapi-x86_64-pc-windows-gnu              0.4.0         Removed            Removed            Normal       x86_64-pc-windows-gnu
winapi-util->winapi                               0.3.9         Removed            Removed            Normal       cfg(windows)
windows->windows-targets                          0.48.1        Removed            Removed            Normal       ---
windows-sys->windows-targets                      0.48.1        0.48.5             0.48.5             Normal       ---
windows-sys->windows-targets                      0.48.1        0.48.5             Removed            Normal       ---
windows-sys->windows-targets                      0.48.1        0.52.6             0.52.6             Normal       ---
windows-sys->windows-targets                      0.48.1        0.52.6             Removed            Normal       ---
windows-sys->windows-targets                      0.48.1        Removed            Removed            Normal       ---
windows-targets->windows_aarch64_gnullvm          0.48.0        0.48.5             0.48.5             Normal       aarch64-pc-windows-gnullvm
